Passenger_ID,Passenger_Full_Name,Gender,Age,Customer_Type,Travel_Purpose,Cabin_Class,Origin_Destination_Route,Booking_Channel,Flight_Distance_KM,Departure_Delay_Min,Arrival_Delay_Min,Ticket_Fare,Seat_Comfort_Rating,Food_Service_Rating,Online_Booking_Experience,Flight_Status,Passenger_Satisfaction
AXP100000,Robin Paul,M,54.0,Returning,Business,Business ,DEL-BLR,Travel Agent,2398,29,193.0,"₹10,556",5,1.0,5,On Time,Dissatisfied
AXP100001,Kayla George,male,67.0,Returning,Education,Economy,MAA-HYD,Travel Agent,3356,169,62.0,"₹36,884",2,5.0,3,On Time,Neutral
AXP100002,Sherry Baxter,Female,44.0,First-Time,Education,Business ,HYD-BOM,Mobile App,4442,121,103.0,"₹44,360",3,2.0,2,Delayed,Dissatisfied
AXP100003,Shannon Aguilar,Female,30.0,First-Time,Personal,First,DEL-AMD,Mobile App,3895,124,82.0,"₹15,217",2,1.0,4,Cancelled,Satisfied
AXP100004,Sarah Gibbs,Male,,Returning,Education, Economy,DEL-GOI,Travel Agent,3652,36,102.0,"₹34,143",5,4.0,2,Cancelled,Neutral
AXP100005,Gina Glover,Female,23.0,Returning,Medical,First,PNQ-BLR,Corporate Portal,1114,169,155.0,"₹12,162",1,4.0,2,Cancelled,Neutral
AXP100006,Diane Campbell,female,76.0,First-Time,Personal,Business,BLR-DEL,Corporate Portal,1508,123,,"₹33,621",2,1.0,1,Cancelled,Neutral
AXP100007,Megan Kelley,Female,36.0,Returning,Business,First,HYD-HYD,Corporate Portal,4377,100,5.0,"₹41,457",5,3.0,5,On Time,Neutral
AXP100008,Cynthia Miles,M,54.0,Returning,Medical,Business ,AMD-GOI,Mobile App,713,34,146.0,"₹24,167",4,3.0,5,Cancelled,Satisfied
AXP100009,Christopher Woods,male,73.0,Returning,Medical,Business ,BLR-AMD,Corporate Portal,2120,86,183.0,"₹27,397",3,2.0,5,Delayed,Satisfied
